university	count	country
INSTITUTO TECNOLOGICO DE BUENOS AIRES	11	Argentina
UNIVERSIDAD DE BELGRANO	2	Argentina
UNIVERSIDAD DE BUENOS AIRES	8	Argentina
UNIVERSIDAD DE MENDOZA	4	Argentina
UNIVERSIDAD NACIONAL DE CUYO	3	Argentina
GRIFFITH UNIVERSITY	1	Australia
QUEENSLAND UNIVERSITY OF TECHNOLOGY	11	Australia
RAFFLES COLLEGE OF DESIGN AND COMMERCE	1	Australia
ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY	4	Australia
THE UNIVERSITY OF QUEENSLAND	4	Australia
THE UNIVERSITY OF WESTERN AUSTRALIA - UWA	25	Australia
UNIVERSITY OF TECHNOLOGY, SYDNEY	5	Australia
LEOPOLD FRANZENS UNIVERSITAT INNSBRUCK	1	Austria
TECHNISCHE UNIVERSITAT GRAZ	2	Austria
TECHNISCHE UNIVERSITAT WIEN	4	Austria
UNIVERSITAT FUR KUNSTLERISCHE UND INDUSTRIELLE GESTALTUNG LINZ	1	Austria
ARTESIS HOGESCHOOL ANTWERPEN	4	Belgio
ECOLE NATIONALE SUPERIEURE DES ARTS VISUELS DE LA CAMBRE, BRUXELLES	1	Belgio
FACULTES UNIVERSITAIRES NOTRE-DAME DE LA PAIX	1	Belgio
HOGESCHOOL WEST-VLAANDEREN	1	Belgio
L'ECOLE SUPERIEURE DES ARTS SAINT-LUC BRUXELLES	2	Belgio
LUCA SCHOOL OF ARTS	1	Belgio
PROVINCIALE HOGESCHOOL LIMBURG	2	Belgio
THOMAS MORE (MECHELEN)	1	Belgio
UNIVERSITA' CATTOLICA DI LOVANIO	2	Belgio
UNIVERSITE' DE LIEGE	1	Belgio
UNIVERSITE' LIBRE DE BRUXELLES	5	Belgio
UNIVERSITEIT GENT	7	Belgio
ASSOCIACAO DE ENSINO DE ARQUITETURA E URBANISMO DE SAO PAULO	1	Brasile
FEEVALE UNIVERSIDADE	6	Brasile
FUNDACAO ARMANDO ALVARES PENTEADO	1	Brasile
PONTIFICIA UNIVERSIDADE CATOLICA DO PARANA	3	Brasile
PONTIFICIA UNIVERSIDADE CATOLICA DO RIO DE JANEIRO	4	Brasile
UNIVERSIDADE CATOLICA DE CAMPINAS	4	Brasile
UNIVERSIDADE DE SAO PAULO	37	Brasile
UNIVERSIDADE DO ESTADO DE MINAS GERAIS	5	Brasile
UNIVERSIDADE DO ESTADO DE SANTA CATERINA - UDESC	4	Brasile
UNIVERSIDADE ESTADUAL DE CAMPINAS	3	Brasile
UNIVERSIDADE ESTADUAL DE LONDRINA	3	Brasile
UNIVERSIDADE FEDERAL DE PERNAMBUCO	2	Brasile
UNIVERSIDADE FEDERAL DE SANTA CATARINA	6	Brasile
